word, pos, meaning, level
counterpart, 名詞, 対応する人・物, 700
publicity, 名詞, 宣伝、知名度, 700
finding, 名詞, 発見、調査結果, 700
proceed, 動詞, 進む, 700
allowance, 名詞, 手当、許容, 700
enthusiasm, 名詞, 熱意, 700
equivalent, 形容詞, 同等の, 700
acquisition, 名詞, 取得、習得, 700
commodity, 名詞, 商品, 700
deregulation, 名詞, 規制緩和, 700
exposure, 名詞, 露出、暴露, 700
estate, 名詞, 不動産, 700
welfare, 名詞, 福祉, 700
indication, 名詞, 兆候、表示, 700
accomplishment, 名詞, 達成、成果, 700
prevention, 名詞, 予防, 700
supervision, 名詞, 監督, 700
consumption, 名詞, 消費, 700
awareness, 名詞, 認識、意識, 700
bond, 名詞, 絆、債券, 700
burden, 名詞, 負担, 700
learning, 名詞, 学習, 700
yield, 動詞, 産出する、屈する, 700
courtesy, 名詞, 礼儀, 700
outcome, 名詞, 結果, 700
strain, 名詞, 緊張、負担, 700
faculty, 名詞, 学部、能力, 700
fraction, 名詞, 部分、断片, 700
resolution, 名詞, 決議、解決, 700
insight, 名詞, 洞察, 700
successor, 名詞, 後継者, 700
conservation, 名詞, 保護, 700
restoration, 名詞, 修復、復元, 700
ward, 名詞, 病棟、区, 700
peer, 名詞, 同僚、仲間, 700
transmission, 名詞, 送信、伝達, 700
depression, 名詞, 不況、うつ病, 700
discipline, 名詞, 規律、訓練, 700
phenomenon, 名詞, 現象, 700
prosperity, 名詞, 繁栄, 700
affection, 名詞, 愛情, 700
disaster, 名詞, 災害, 700
omit, 動詞, 省略する, 700
stimulate, 動詞, 刺激する, 700
resist, 動詞, 抵抗する, 700
attain, 動詞, 達成する, 700
stall, 動詞, 行き詰まる, 700
confess, 動詞, 告白する, 700
inhabit, 動詞, 住む, 700
commence, 動詞, 開始する, 700
extract, 動詞, 抽出する, 700
boast, 動詞, 誇る, 700
disclose, 動詞, 明らかにする, 700
emerge, 動詞, 現れる, 700
transmit, 動詞, 送信する, 700
declare, 動詞, 宣言する, 700
evolve, 動詞, 進化する, 700
finalize, 動詞, 仕上げる, 700
prolong, 動詞, 延長する, 700
deregulate, 動詞, 規制を撤廃する, 700
multiply, 動詞, 増やす、掛ける, 700
stage, 動詞, 段階、舞台, 700
utilize, 動詞, 利用する, 700
plow, 動詞, 耕す, 700
drain, 動詞, 排出する, 700
cite, 動詞, 引用する, 700
define, 動詞, 定義する, 700
fascinate, 動詞, 魅了する, 700
inherit, 動詞, 受け継ぐ, 700
abandon, 動詞, 放棄する, 700
absorb, 動詞, 吸収する, 700
assert, 動詞, 主張する, 700
confront, 動詞, 立ち向かう, 700
conquer, 動詞, 征服する, 700
foster, 動詞, 育てる, 700
grasp, 動詞, つかむ, 700
halt, 動詞, 停止する, 700
resemble, 動詞, 似ている, 700
comprehend, 動詞, 理解する, 700
slip, 動詞, 滑る, 700
spark, 動詞, 火花、刺激, 700
sustain, 動詞, 維持する, 700
genuine, 形容詞, 本物の, 700
overwhelming, 形容詞, 圧倒的な, 700
tremendous, 形容詞, 途方もない, 700
extraordinary, 形容詞, 並外れた, 700
immense, 形容詞, 莫大な, 700
lasting, 形容詞, 永続する, 700
intense, 形容詞, 強烈な, 700
competent, 形容詞, 有能な, 700
sophisticated, 形容詞, 洗練された, 700
vigorous, 形容詞, 活発な, 700
abstract, 形容詞, 抽象的な, 700
elaborate, 形容詞, 精巧な, 700
fascinating, 形容詞, 魅力的な, 700
infant, 名詞, 乳児, 700
classified, 形容詞, 分類された, 700
abrupt, 形容詞, 突然の, 700
acute, 形容詞, 鋭い、激しい, 700
abundant, 形容詞, 豊富な, 700
compulsory, 形容詞, 強制的な, 700
inevitable, 形容詞, 避けられない, 700
rigit, 形容詞, 硬直した, 700
splendid, 形容詞, 素晴らしい, 700
concerned, 形容詞, 関心のある, 700
harsh, 形容詞, 厳しい, 700
industrious, 形容詞, 勤勉な, 700
proficient, 形容詞, 熟達した, 700
superior, 形容詞, 優れた, 700
conventional, 形容詞, 従来の, 700
devoted, 形容詞, 献身的な, 700
harmful, 形容詞, 有害な, 700
mere, 形容詞, 単なる, 700
successive, 形容詞, 連続する, 700
agreeable, 形容詞, 快適な, 700
grand, 形容詞, 壮大な, 700
prolonged, 形容詞, 長引いた, 700
humble, 形容詞, 謙虚な, 700
internal, 形容詞, 内部の, 700
steadily, 副詞, 着実に, 700
exclusively, 副詞, 排他的に, 700
fully, 副詞, 完全に, 700
consequently, 副詞, その結果として, 700
nearly, 副詞, ほとんど, 700
adequately, 副詞, 適切に, 700
apparently, 副詞, 一見、明らかに, 700
specifically, 副詞, 具体的に, 700
fairly, 副詞, かなり、公平に, 700
firmly, 副詞, しっかりと, 700
prominently, 副詞, 目立って, 700
allocate, 動詞, 割り当てる, 700
amend, 動詞, 修正する, 700
appraisal, 名詞, 評価, 700
arbitrary, 形容詞, 任意の、独断的な, 700
asset, 名詞, 資産, 700
audit, 名詞, 監査, 700
benchmark, 名詞, 基準, 700
breach, 名詞, 違反, 700
briefing, 名詞, 説明会, 700
broker, 名詞, 仲介人, 700
cater, 動詞, 料理を提供する、要求に応じる, 700
charter, 名詞, 憲章、契約, 700
collaborate, 動詞, 協力する, 700
commute, 動詞, 通勤する, 700
compliance, 名詞, 遵守, 700
consolidate, 動詞, 統合する, 700
contingency, 名詞, 不測の事態, 700
convey, 動詞, 伝える, 700
criteria, 名詞, 基準, 700
deduct, 動詞, 控除する, 700
delegate, 動詞, 委任する, 700
deteriorate, 動詞, 悪化する, 700
discrepancy, 名詞, 不一致, 700
disrupt, 動詞, 混乱させる, 700
dividend, 名詞, 配当, 700
downsizing, 名詞, 人員削減, 700
durable, 形容詞, 耐久性のある, 700
enroll, 動詞, 登録する, 700
entrepreneur, 名詞, 起業家, 700
exceed, 動詞, 超える, 700
exemption, 名詞, 免除, 700
facilitate, 動詞, 促進する, 700
feasible, 形容詞, 実現可能な, 700
fluctuate, 動詞, 変動する, 700
foresee, 動詞, 予見する, 700
formulate, 動詞, 立案する, 700
franchise, 名詞, フランチャイズ, 700
gauge, 動詞, 測定する, 700
incentive, 名詞, 動機、奨励金, 700
incur, 動詞, 被る（損失など）, 700
inventory, 名詞, 在庫, 700
liability, 名詞, 負債、責任, 700
mandatory, 形容詞, 義務的な, 700
negotiate, 動詞, 交渉する, 700
outsource, 動詞, 外注する, 700
overhead, 名詞, 間接費, 700
prospect, 名詞, 見込み, 700
reimburse, 動詞, 払い戻す, 700
restructure, 動詞, 再構築する, 700
speculation, 名詞, 推測、投機, 700
subsidiary, 名詞, 子会社, 700
surplus, 名詞, 余剰, 700
sustainability, 名詞, 持続可能性, 700
terminate, 動詞, 終了する, 700
turnover, 名詞, 離職率、売上高, 700
unanimous, 形容詞, 全会一致の, 700
undertake, 動詞, 引き受ける, 700
utility, 名詞, 公共料金、実用性, 700
viable, 形容詞, 実行可能な, 700
voucher, 名詞, 引換券, 700
warehouse, 名詞, 倉庫, 700
withstand, 動詞, 耐える, 700
workforce, 名詞, 労働力, 700
accrue, 動詞, 発生する（利子など）, 700
adverse, 形容詞, 不利な、有害な, 700
affiliation, 名詞, 所属、提携, 700
agenda, 名詞, 議題, 700
backlog, 名詞, 未処理の仕事, 700
bid, 名詞, 入札, 700
blueprint, 名詞, 設計図、計画, 700
clause, 名詞, 条項, 700
collateral, 名詞, 担保, 700
complement, 動詞, 補完する, 700
concession, 名詞, 譲歩, 700
consortium, 名詞, 共同事業体, 700
contaminate, 動詞, 汚染する, 700
conveyance, 名詞, 輸送、譲渡, 700
deem, 動詞, 〜と見なす, 700
deficiency, 名詞, 不足、欠陥, 700
disposal, 名詞, 処分, 700
diversify, 動詞, 多様化する, 700
embark, 動詞, 着手する、乗り出す, 700
endorse, 動詞, 支持する、裏書きする, 700
entail, 動詞, 伴う、必要とする, 700
equity, 名詞, 株式、公平, 700
expenditure, 名詞, 支出, 700
fiscal, 形容詞, 財政の, 700
foreclosure, 名詞, 差し押さえ, 700
impair, 動詞, 損なう, 700
incidence, 名詞, 発生率, 700
insolvent, 形容詞, 支払い不能の, 700
intangible, 形容詞, 無形の, 700
leverage, 名詞, てこ、影響力, 700
liquidate, 動詞, 清算する, 700
logistics, 名詞, 物流, 700
adjust, 動詞, 調整する, 600
approve, 動詞, 承認する, 600
assemble, 動詞, 組み立てる、集める, 600
assure, 動詞, 保証する, 600
attract, 動詞, 引きつける, 600
backup, 名詞, 予備、支援, 600
bargain, 名詞, お買い得品、交渉, 600
beneficial, 形容詞, 有益な, 600
brief, 形容詞, 短時間の、簡潔な, 600
capacity, 名詞, 能力、収容力, 600
clarify, 動詞, 明確にする, 600
comply, 動詞, 従う, 600
concern, 名詞, 関心事、懸念, 600
confirm, 動詞, 確認する, 600
considerable, 形容詞, かなりの, 600
consistent, 形容詞, 一貫した, 600
consult, 動詞, 相談する, 600
contain, 動詞, 含む, 600
contractor, 名詞, 請負業者, 600
contribute, 動詞, 貢献する, 600
convert, 動詞, 変換する, 600
cooperate, 動詞, 協力する, 600
coordinate, 動詞, 調整する, 600
courier, 名詞, 配達人, 600
criticize, 動詞, 批判する, 600
deal, 名詞, 取引, 600
decline, 動詞, 減少する、断る, 600
demonstrate, 動詞, 実演する、示す, 600
deposit, 名詞, 預金、頭金, 600
destination, 名詞, 目的地, 600
detect, 動詞, 検出する, 600
distribute, 動詞, 配布する, 600
diverse, 形容詞, 多様な, 600
donate, 動詞, 寄付する, 600
duplicate, 動詞, 複製する, 600
efficient, 形容詞, 効率的な, 600
emphasize, 動詞, 強調する, 600
enclose, 動詞, 同封する, 600
enhance, 動詞, 高める, 600
evaluate, 動詞, 評価する, 600
exhibit, 動詞, 展示する, 600
expand, 動詞, 拡大する, 600
expire, 動詞, 期限が切れる, 600
feedback, 名詞, フィードバック, 600
flexible, 形容詞, 柔軟な, 600
focus, 動詞, 集中する, 600
forecast, 名詞, 予測, 600
founder, 名詞, 創設者, 600
generate, 動詞, 生み出す, 600
handle, 動詞, 対処する, 600
highlight, 動詞, 強調する, 600
illustrate, 動詞, 説明する、図示する, 600
impact, 名詞, 影響, 600
indicate, 動詞, 示す, 600
influence, 名詞, 影響, 600
inquire, 動詞, 尋ねる, 600
inspect, 動詞, 検査する, 600
install, 動詞, 設置する, 600
intend, 動詞, 意図する, 600
interact, 動詞, 交流する, 600
interrupt, 動詞, 中断する, 600
introduce, 動詞, 紹介する, 600
investigate, 動詞, 調査する, 600
issue, 名詞, 問題、発行物, 600
itemize, 動詞, 項目別にする, 600
justify, 動詞, 正当化する, 600
launch, 動詞, 開始する、発売する, 600
maintain, 動詞, 維持する, 600
mention, 動詞, 言及する, 600
modify, 動詞, 修正する, 600
notify, 動詞, 通知する, 600
obtain, 動詞, 得る, 600
operate, 動詞, 操作する, 600
organize, 動詞, 整理する、企画する, 600
participate, 動詞, 参加する, 600
perceive, 動詞, 認識する, 600
permit, 動詞, 許可する, 600
postpone, 動詞, 延期する, 600
prepare, 動詞, 準備する, 600
preserve, 動詞, 保護する, 600
prioritize, 動詞, 優先順位をつける, 600
process, 名詞, 過程、処理, 600
promote, 動詞, 昇進させる、促進する, 600
propose, 動詞, 提案する, 600
protect, 動詞, 守る, 600
provide, 動詞, 提供する, 600
purchase, 動詞, 購入する, 600
recommend, 動詞, 推薦する, 600
reduce, 動詞, 減らす, 600
reflect, 動詞, 反映する, 600
register, 動詞, 登録する, 600
reinforce, 動詞, 強化する, 600
relocate, 動詞, 移転する, 600
remind, 動詞, 思い出させる, 600
replace, 動詞, 取り替える, 600
renew, 動詞, 更新する, 600
reschedule, 動詞, 日程を変更する, 600
resolve, 動詞, 解決する, 600
review, 動詞, 見直す、再検討する, 600
revise, 動詞, 修正する, 600
schedule, 名詞, 予定、スケジュール, 600
select, 動詞, 選ぶ, 600
shift, 名詞, 交代勤務、変化, 600
standard, 名詞, 基準, 600
submit, 動詞, 提出する, 600
succeed, 動詞, 成功する, 600
suggest, 動詞, 提案する, 600
supply, 名詞, 供給, 600
support, 動詞, 支援する, 600
survey, 名詞, 調査, 600
target, 名詞, 目標, 600
task, 名詞, 任務, 600
track, 動詞, 追跡する, 600
transfer, 動詞, 移す, 600
translate, 動詞, 翻訳する, 600
update, 動詞, 更新する, 600
upgrade, 動詞, グレードアップする, 600
verify, 動詞, 確認する, 600
view, 名詞, 意見、眺め, 600
warranty, 名詞, 保証, 600
withdraw, 動詞, 引き出す、撤回する, 600
access, 動詞, アクセスする, 600
accompany, 動詞, 同行する, 600
adapt, 動詞, 適応する, 600
adhere, 動詞, 固守する, 600
adjustment, 名詞, 調整, 600
adopt, 動詞, 採用する, 600
analyze, 動詞, 分析する, 600
assess, 動詞, 評価する, 600
assistance, 名詞, 支援, 600
assumption, 名詞, 仮定, 600
attach, 動詞, 添付する, 600
attempt, 動詞, 試みる, 600
availability, 名詞, 利用可能性, 600
aware, 形容詞, 気づいている, 600
retrieve, 動詞, 取り戻す, 600
revive, 動詞, 復活させる, 600
satisfy, 動詞, 満足させる, 600
secure, 動詞, 確保する, 600
seek, 動詞, 探し求める, 600
shortage, 名詞, 不足, 600
stability, 名詞, 安定, 600
stipulate, 動詞, 規定する, 600
sufficient, 形容詞, 十分な, 600
supervise, 動詞, 監督する, 600
surpass, 動詞, 超える, 600
tolerate, 動詞, 許容する, 600
transaction, 名詞, 取引, 600
underestimate, 動詞, 過小評価する, 600
urgent, 形容詞, 緊急の, 600
vacant, 形容詞, 空いている, 600
validate, 動詞, 有効にする, 600
variation, 名詞, 変化, 600
vendor, 名詞, 売り手, 600
violation, 名詞, 違反, 600
visual, 形容詞, 視覚的な, 600
wage, 名詞, 賃金, 600
willing, 形容詞, 意欲的な, 600
withdrawal, 名詞, 引き出し、撤退, 600
workshop, 名詞, ワークショップ、研修, 600
acquire, 動詞, 習得する、取得する, 600
adaptation, 名詞, 適応, 600
affordable, 形容詞, 手頃な, 600
alternative, 名詞, 代替案, 600
anticipation, 名詞, 予期, 600
applicant, 名詞, 応募者, 600
appointment, 名詞, 予約、任命, 600
attendance, 名詞, 出席, 600
authorization, 名詞, 許可, 600
automation, 名詞, 自動化, 600
beneficiary, 名詞, 受益者, 600
certification, 名詞, 認証, 600
clarification, 名詞, 明確化, 600
collaboration, 名詞, 協力, 600
commitment, 名詞, 約束、献身, 600
confidential, 形容詞, 機密の, 600
confirmation, 名詞, 確認, 600
consolidation, 名詞, 統合, 600
contingent, 形容詞, 不確定の, 600
convenience, 名詞, 便利, 600
correction, 名詞, 修正, 600
coverage, 名詞, 補償範囲、報道, 600
credential, 名詞, 資格情報, 600
dedication, 名詞, 献身, 600
delegation, 名詞, 代表団、委任, 600
delivery, 名詞, 配達, 600
demonstration, 名詞, 実演, 600
description, 名詞, 説明, 600
designation, 名詞, 指定, 600
detection, 名詞, 検出, 600
effectiveness, 名詞, 有効性, 600
efficiency, 名詞, 効率, 600
engagement, 名詞, 約束、関与, 600
enhancement, 名詞, 強化, 600
enrollment, 名詞, 登録, 600
entrepreneurship, 名詞, 起業家精神, 600
evaluation, 名詞, 評価, 600
examination, 名詞, 試験、検査, 600
exception, 名詞, 例外, 600
explanation, 名詞, 説明, 600
extension, 名詞, 延長, 600
facility, 名詞, 施設, 600
flexibility, 名詞, 柔軟性, 600
functionality, 名詞, 機能性, 600
guideline, 名詞, 指針, 600
identification, 名詞, 身分証明, 600
implementation, 名詞, 実施, 600
improvement, 名詞, 改善, 600
installation, 名詞, 設置, 600
instruction, 名詞, 指示, 600
insurance, 名詞, 保険, 600
interaction, 名詞, 相互作用、交流, 600
interruption, 名詞, 中断, 600
investment, 名詞, 投資, 600
involvement, 名詞, 関与, 600
justification, 名詞, 正当化, 600
limitation, 名詞, 制限, 600
maintenance, 名詞, 保守、維持, 600
management, 名詞, 管理, 600
manufacturer, 名詞, 製造業者, 600
measurement, 名詞, 測定, 600
modification, 名詞, 修正, 600
negotiation, 名詞, 交渉, 600
notification, 名詞, 通知, 600
objective, 名詞, 目的, 600
obligation, 名詞, 義務, 600
operation, 名詞, 操作、業務, 600
opportunity, 名詞, 機会, 600
option, 名詞, 選択肢, 600
organization, 名詞, 組織, 600
participant, 名詞, 参加者, 600
partnership, 名詞, 協力関係, 600
payment, 名詞, 支払い, 600
performance, 名詞, 成績、実行, 600
permission, 名詞, 許可, 600
possibility, 名詞, 可能性, 600
preparation, 名詞, 準備, 600
priority, 名詞, 優先事項, 600
procedure, 名詞, 手順, 600
productivity, 名詞, 生産性, 600
profession, 名詞, 職業, 600
proposal, 名詞, 提案, 600
recognition, 名詞, 認識、表彰, 600
recommendation, 名詞, 推薦, 600
reduction, 名詞, 削減, 600
reflection, 名詞, 反映、熟考, 600
registration, 名詞, 登録, 600
regulation, 名詞, 規則, 600
reliability, 名詞, 信頼性, 600
reminder, 名詞, 注意喚起, 600
requirement, 名詞, 要件, 600
reservation, 名詞, 予約, 600
resource, 名詞, 資源, 600
responsibility, 名詞, 責任, 600
restriction, 名詞, 制限, 600
retirement, 名詞, 退職, 600
revision, 名詞, 修正, 600
selection, 名詞, 選択, 600
regardless of, 前置詞句, ～にもかかわらず, 800
in spite of, 前置詞句, ～にもかかわらず, 800
due to, 前置詞句, ～が理由で, 800
because of, 前置詞句, ～が理由で, 800
in accordance with, 前置詞句, ～に従って, 800
in addition to, 前置詞句, ～に加えて, 800
with regard to, 前置詞句, ～に関して, 800
in terms of, 前置詞句, ～の観点から, 800
in place of, 前置詞句, ～の代わりに, 800
on behalf of, 前置詞句, ～を代表して, 800
in light of, 前置詞句, ～を考慮して, 800
prior to, 前置詞句, ～より前に, 800
apart from, 前置詞句, ～は別として, 800
as of, 前置詞句, ～現在で, 800
in case of, 前置詞句, ～の場合には, 800
in favor of, 前置詞句, ～に賛成して, 800
in response to, 前置詞句, ～に応じて, 800
in contrast to, 前置詞句, ～とは対照的に, 800
in line with, 前置詞句, ～に沿って, 800
as long as, 接続詞（区）, ～する限り, 800
even though, 接続詞（区）, ～だけれども, 800
so that, 接続詞（区）, ～するために, 800
provided that, 接続詞（区）, ～という条件で, 800
as if, 接続詞（区）, まるで～のように, 800
in case, 接続詞（区）, ～の場合に備えて, 800
now that, 接続詞（区）, ～なので, 800
although, 接続詞（区）, ～だけれども, 800
whereas, 接続詞（区）, ～である一方で, 800
while, 接続詞（区）, ～する間に、～だけれども, 800
unless, 接続詞（区）, ～でない限り, 800
once, 接続詞（区）, 一度～すれば, 800
until, 接続詞（区）, ～まで, 800
since, 接続詞（区）, ～以来、～なので, 800
as soon as, 接続詞（区）, ～するとすぐに, 800
whenever, 接続詞（区）, ～するたびに, 800
as though, 接続詞（区）, まるで～のように, 800
even if, 接続詞（区）, たとえ～でも, 800
in order that, 接続詞（区）, ～するために, 800
assuming that, 接続詞（区）, ～と仮定して, 800
given that, 接続詞（区）, ～を考慮すると, 800
as far as, 接続詞（区）, ～する限り, 800
by the time, 接続詞（区）, ～する時までに, 800
so long as, 接続詞（区）, ～する限り, 800
only if, 接続詞（区）, ～の場合に限り, 800
rather than, 接続詞（区）, ～よりむしろ, 800
ahead of, 前置詞句, ～より先に, 800
along with, 前置詞句, ～と一緒に, 800
as for, 前置詞句, ～について言えば, 800
as to, 前置詞句, ～に関して, 800
at odds with, 前置詞句, ～と対立して, 800
at the expense of, 前置詞句, ～を犠牲にして, 800
by means of, 前置詞句, ～によって, 800
by virtue of, 前置詞句, ～のおかげで, 800
contrary to, 前置詞句, ～に反して, 800
for the sake of, 前置詞句, ～のために, 800
in excess of, 前置詞句, ～を超えて, 800
in observance of, 前置詞句, ～を遵守して, 800
in pursuit of, 前置詞句, ～を追求して, 800
in recognition of, 前置詞句, ～を認めて, 800
in relation to, 前置詞句, ～に関連して, 800
in the event of, 前置詞句, ～の場合には, 800
in view of, 前置詞句, ～を考慮して, 800
on account of, 前置詞句, ～の理由で, 800
on condition that, 接続詞（区）, ～という条件で, 800
on the grounds that, 接続詞（区）, ～という理由で, 800
only when, 接続詞（区）, ～のときに限り, 800
so as to, 前置詞句, ～するために, 800
supposing that, 接続詞（区）, ～と仮定して, 800
though, 接続詞（区）, ～だけれども, 800
whether or not, 接続詞（区）, ～かどうかに関係なく, 800
