word,pos,meaning
enforce,verb,施行する
adequate,adjective,十分な
advanced,adjective,先進的な
annual,adjective,年次の
appropriate,adjective,適切な
approximate,adjective,おおよその
beneficial,adjective,有益な
competitive,adjective,競争力のある
comprehensive,adjective,包括的な
considerable,adjective,かなりの
convenient,adjective,便利な
corporate,adjective,企業の
critical,adjective,重大な
dependent,adjective,依存している
distinct,adjective,明確な
domestic,adjective,国内の
effective,adjective,効果的な
exceptional,adjective,卓越した
exclusive,adjective,排他的な
extensive,adjective,広範な
accordingly,adverb,それに応じて
accurately,adverb,正確に
actively,adverb,積極的に
adequately,adverb,十分に
annually,adverb,毎年
appropriately,adverb,適切に
automatically,adverb,自動的に
barely,adverb,かろうじて
commonly,adverb,一般的に
completely,adverb,完全に
consequently,adverb,その結果
critically,adverb,厳しく
effectively,adverb,効果的に
entirely,adverb,完全に
extensively,adverb,広範囲に
financially,adverb,財政的に
gradually,adverb,徐々に
independently,adverb,独立して
innovation,noun,革新
initiative,noun,主導権
instruction,noun,指示
insurance,noun,保険
investment,noun,投資
leadership,noun,指導力
maintenance,noun,保守
negotiation,noun,交渉
partnership,noun,提携
productivity,noun,生産性
acquisition,noun,買収
advertiser,noun,広告主
affiliation,noun,提携
analysis,noun,分析
appraisal,noun,評価
architecture,noun,建築
banking,noun,銀行業務
brokerage,noun,仲介業
catalog,noun,カタログ
certification,noun,認証
competitor,noun,競合他社
compliance,noun,遵守
concession,noun,譲歩
conflict,noun,対立
consequence,noun,結果
consultant,noun,コンサルタント
contingency,noun,不測の事態
correspondence,noun,通信
curriculum,noun,教育課程
deduction,noun,控除
accelerate,verb,加速する
acknowledge,verb,認める
administer,verb,管理する
advocate,verb,主張する
certify,verb,証明する
circulate,verb,流通させる
compile,verb,編集する
convey,verb,伝える
dedicate,verb,捧げる
disclose,verb,開示する
elaborate,verb,詳述する
endorse,verb,支持する
facilitate,verb,促進する
forecast,verb,予測する
illustrate,verb,説明する
initiate,verb,開始する
justify,verb,正当化する
accessible,adjective,アクセス可能な
ambitious,adjective,野心的な
applicable,adjective,適用可能な
attentive,adjective,注意深い
authentic,adjective,本物の
balanced,adjective,バランスの取れた
capable,adjective,有能な
cautious,adjective,用心深い
compliant,adjective,順守している
confident,adjective,自信のある
considerate,adjective,思いやりのある
credible,adjective,信頼できる
dedicated,adjective,献身的な
deliberate,adjective,故意の
distinctive,adjective,特徴的な
diverse,adjective,多様な
durable,adjective,耐久性のある
abruptly,adverb,突然
alternatively,adverb,代わりに
apparently,adverb,見たところ
collectively,adverb,集団で
explicitly,adverb,明示的に
hierarchy,noun,階層
hospitality,noun,接客業
implementation,noun,実施
incorporation,noun,法人化
indicator,noun,指標
infrastructure,noun,インフラ
legislation,noun,法律
logistics,noun,物流
outcome,noun,成果
revenue,noun,収益
contractual,adjective,契約上の
brochure,noun,パンフレット
bulletin,noun,掲示
dealership,noun,販売代理店
deposit,noun,預金
description,noun,説明
destination,noun,目的地
drawback,noun,欠点
guideline,noun,指針
headquarters,noun,本社
incentive,noun,インセンティブ
incident,noun,出来事
inspection,noun,検査
installment,noun,分割払い
lease,noun,賃貸契約
manufacturer,noun,メーカー
memorandum,noun,回覧文書
morale,noun,士気
overtime,noun,残業
payroll,noun,給与台帳
permission,noun,許可
personnel,noun,人事
portfolio,noun,資産構成
precaution,noun,予防策
premises,noun,敷地
procurement,noun,調達
profitability,noun,収益性
promotion,noun,昇進
provision,noun,規定
quota,noun,割当
receipt,noun,領収書
recipient,noun,受取人
recruiter,noun,採用担当
recruitment,noun,採用
redundancy,noun,人員削減
reimbursement,noun,払い戻し
remainder,noun,残り
renovation,noun,改装
replacement,noun,交換
representative,noun,代表者
reputation,noun,評判
reservation,noun,予約
retailer,noun,小売業者
retail,noun,小売
schedule,noun,日程
shipment,noun,出荷
shortage,noun,不足
specification,noun,仕様
subsidiary,noun,子会社
supervisor,noun,監督者
surplus,noun,余剰
survey,noun,調査
tariff,noun,関税
termination,noun,終了
turnover,noun,離職率
utility,noun,公共料金
vendor,noun,仕入先
warehouse,noun,倉庫
warranty,noun,保証
wholesale,noun,卸売
workflow,noun,作業工程
amend,verb,修正する
apply,verb,応募する
arrange,verb,手配する
assign,verb,割り当てる
assure,verb,保証する
attain,verb,達成する
boost,verb,押し上げる
cancel,verb,取り消す
ensure,verb,確実にする
evaluate,verb,評価する
finalize,verb,最終決定する
handle,verb,対応する
improve,verb,改善する
increase,verb,増加する
launch,verb,立ち上げる
manufacture,verb,製造する
monitor,verb,監視する
optimize,verb,最適化する
organize,verb,整理する
proceed,verb,進める
promote,verb,昇進させる
provide,verb,提供する
refund,verb,返金する
reinforce,verb,強化する
replace,verb,交換する
require,verb,要求する
resolve,verb,解決する
schedule,verb,予定する
ship,verb,出荷する
streamline,verb,合理化する
supervise,verb,監督する
supply,verb,供給する
suspend,verb,一時停止する
temporary,adjective,一時的な
tentative,adjective,仮の
conventional,adjective,従来の
defective,adjective,欠陥のある
demanding,adjective,要求が厳しい
feasible,adjective,実現可能な
fiscal,adjective,財政の
global,adjective,世界的な
internal,adjective,内部の
external,adjective,外部の
outstanding,adjective,未払いの
preliminary,adjective,予備的な
prospective,adjective,見込みの
reasonable,adjective,妥当な
responsible,adjective,責任がある
sophisticated,adjective,洗練された
ultimate,adjective,究極の
immediately,adverb,すぐに
firmly,adverb,しっかりと
notably,adverb,特に
primarily,adverb,主として
roughly,adverb,大まかに
significantly,adverb,著しく
simply,adverb,単純に
typically,adverb,典型的に
